Print;skill;skill_nl
;;
True;Code;Code
True;- python;- Python
True;- SQL;- SQL
;;
;;
True;Analyse;Analyse
True;- Power BI;- Power BI
True;- MS Fabric;- MS Fabric
True;- MS Fabric;- ESRI
;;
True;Process verbetering;Process verbetering
True;- LSS;- LSS (blackbelt)
True;- RPA;- RPA
;;
True;Data management;Data management
True;- DMBOK;- DMBOK
True;- Data Vault 2.0;- Data Vault 2.0
True;- Data Vault 2.0;- Data Vault 2.0
;;
;Sociology;Sociologie
;Asset management;Asset management
